id,date,month,description,name,location,phase,type,html,date_night,month_night,is_night,priority,important,old_name,processed
69,8,4,Jamnagar,Urs Maulai Raj bin Mulla Adam Saheb AQ,Jamnagar,DAY,URS,"<ul><li>Moulai Mulla Raj a.q.&nbsp;Aale bharmal na nabira chhe. Moulai Adam bin Moulai Raj na baad aap Hind na vaali tarike qayam thaya.</li><li>Syedna Ismail Badruddin r.a. na aap Valid Majid ( Father) chhe. Syedi Sheikh Feer Saheb a.q. si aap ye ilm hasil kidu.</li><li>Aap Malekut tujjar tha. [very rich businessman]. Gujarat ane Kathiavar [ aaj nu saurashtra] ma aap ni ghani pedhio [offices] hati.</li><li>Ilm-e-nujum [Astronomy] ma aap mahir [expert] tha. Roj kitab na&nbsp;50safa [pages] likhta. Aap na khat [Handwriting]&nbsp;ghana&nbsp;saras hata. Aap ni taaweez ma asar ane shifa hati.</li><li>Sultan Mehmoodshah na zaman ma Kathiawar lutayu, tema aap na&nbsp;14gansdi [lot] kitab lutai gaya. Aap ne ghano sadmo [feel] thayo. Aap ye te saghla kitab fari si likha.</li><li>Taalim [education] na zaman [ during his education period ] ma Moulai Raj a.q. bister [bed] rakhta nahin. Takiya [pillow] ni jagah iint [Brick] muki ne suta,1, chhatri ma chhe.</li></ul>",7,4,True,,False,Urus Mawlai Raj bin Mulla Adam Saheb,
70,10,4,Banswara,Urs Syedi Abdulrasool Shaheed AQ,Banswara,DAY,URS,"<ul><li>Moulai Abdur Rasool ilm, amal,1, taqwa ane diyanat na saheb tha.</li><li>35ma Dai, Syedna Abdul Taiyeb Zakiuddin r.a. [ Madfoon-Jamnagar] ni aap ye ghani khidmat kidi chhe. Aap Syedna Abdul Taiyeb Zakiuddin r.a. ane Moulai Hasanji Badshah a.q. [Madfoon-Ujjain] na saath, Aurangabad, Dongam ane Burhanpur ni safar ma saathe hata. Aap vahan si Moulai Hasanji a.q. na saath Ahmedabad padhara. Ahmedabad ma Mumineen par ghano zulm no zaman hato, ehva waqt ma aap Mumineen ni dhaal bani ne rahya.</li><li>36ma Dai, Syedna Kalimuddin r.a. ye aap ne Vaghad ni taraf Dawat vaste mokla. Vahan Dawat vaste Galiyakot jata rasta ma 'Keral' gaon na paas ek Arab aap ni saath thaya. Aagal jata dushmano ye aap beve ne gheri lida, ane teer si jakhmi kida.&nbsp;&nbsp;Aap ane saudagar beve mara gaya. Dushmano ye aap na jism mubarak ne bhala par uncho kari shaheed kida.</li><li>Aap mojeza na saheb chhe. Syedi Fakhruddin Shaheed r.a. ni misal aap na mazar par bedi tutva na mojeza mashoor chhe. Syedi Abdulqadar Hakimuddin Saheb a.q. ye,&nbsp;jivare aap Vaaghad ni Dawat vaste padhara hata, tivare aap ni ziyarat kidi chhe.</li><li>Aap na bavaji saheb, Mulla Nooruddin bin Mulla Alibhai, qaidi na haal ma shaheed thaya chhe. Je ni qabr Surat ma, Mulla Wahedbhai Saheb na Maqbara ma chhe.</li><li>Aap ni nasal ma Shk. Qutubbhai [Poona] Hafizul Quran tha, ane Dawat ni akhbar na aalam tha, je saheb ye ' Muntazeil Akhbar' kitab likhi chhe, ane je Mumbai na Aamil hata.</li><li>Aap na Qubbat Rajasthan na Banswara ma chhe. Mazar na qareeb je kuvo [well] chhe, tena paani ma shifa chhe.</li><li>Mazar ma haal developmnt ghanu thai rahyu chhe.</li></ul>",9,4,True,,False,Urs Syedi Abdulrasool Shaheed AQ,
71,14,4,,Urs Syedi Ismailji Shaheed bin Syedi Abde Moosa AQ,Godhra,DAY,URS,"<ul><li class=""ql-align-center""><br></li><li>Aap aale bharmal na nabira chhe.</li><li>Aap 39ma Dai, Syedna Ibrahim Vajihuddin r.a. na Navasa ( Daughter's Son),1, ane aap na lasha mubarakah ne Godhra lavi dafan kida.</li><li>Aap na qubba Godhra ma Mohalla ni Masjid na sahan ma chhe. Development chalu chhe.</li></ul>",13,4,True,,False,Urs Syedi Ismailji Shaheed bin Syedi Abde Moosa AQ,
72,16,4,25th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Jalal Shamsuddin bin Hasan RA","Ahmedabad, India",DAY,URS,1, tivare aap Yemen maj hata. Mehnat na waqt ma aap ye Dawat ni ghani khidmat kidi chhe.</li><li>Shuru ni&nbsp;talim aap ye Moulai Qasim Taqiuddin a.q. (Vaali-e-Hind) pase si lidi. Te baad Syedna Jalal r.a. ye Yemen ma Syedi Hasan bin Nooh a.q. na najdeek Syedna Yusuf Najmuddin r.a. ane Al Moula Malak bin Firoz na saath ilm haasil kidu.</li><li>24ma Dai, Syedna Yusuf Najmuddin r.a. jivare Hind si Yemen padhara, te arsa ma taqreeban 20 varas aap Hind na vaali rahya.</li><li>Gujarat ma te waqt Mehmoodshah Sultan hato. Ghani fitnato thai, aap ne ghani takleef pohnchi chhe.</li><li>Syedna Yusuf Najmuddin r.a. ye Yemen si aap ni taraf nas no kagaj moklo te waqt aap ghana bimar tha. Logo kahe ke bimar chhe to nas kahan pohnchse? magar Syedna Yusuf R.A ye farmayu ke nas ponanchsej , ane nas pohnchi.</li><li>Aap faqt chaar (4) mahina Dawat na arsh par rahya. Aap ye beve Dawwod, Syedna Dawood bin Ajabshah r.a. ane Syedna Dawood bin Qutubshah r.a. par nas farmavi.</li><li>Aap ye Imamuz Zaman a.s. ne be (2) vaar khwab ma dekha chhe.</li><li>16 Rabiul Ukhra," 975 H. aap Ahmedabad ma vafat thaya chhe. Aap na qubba shareef&nbsp;Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;ye tameer kida chhe.</li><li>Aap na qadam najdeek Moulai Shamun a.q. ni qabr chhe.</li></ul>""",15,3,True,,False,Urs Syedna Ahmed Hamiduddin Kirmani RA,True
73,20,4,52nd al-Dai al-Mutlaq,"Milad Mubarak, Syedna Mohammed Burhanuddin RA","Mumbai, India",DAY,MILAD,,19,4,True,,True,"Urs Mubarak, 52nd al-Dai al-Mutlaq Syedna Mohammed Burhanuddin RA",True
74,22,4,36th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Moosa Kalimuddin bin Syedna Abduttaiyeb Zakiyuddin RA",Jamnagar,DAY,URS,"<ul><li>Ale Bharmal na aap teesra Dai chhe.</li><li>Aap na Bavaji Saheb ni misal aap no zaman bhi mehnat ane taklif no hato. Aurangzeb ni&nbsp;huqumqt&nbsp;[reign] hati. Tena baad na Mogul Badshah,1, ane Syedna Nooruddin r.a., Syedna Vajihuddin r.a. ane bija Hudud ne qaid kida. Syedna Kalimuddin r.a. ne aa sabab bimari aavi, weakness ghani aavi gai. Jam ne hundi lakhi aapi, saghla ne qaid si chhuraya.</li><li>Aap ye Syedna Nooruddin r.a. par nas farmavi. 22 Rabiul Ukhra Nisfil Lail na waqt aap vafat thaya.</li><li>Aap ni qabr Jamnagar ma Qubbat Badriyah ma chhe.</li><li>Talebatul Ilm vaste aap ye kitab likhva vaste kagaz, qalam ane siyahi [ paper, pen and ink] aapva ni rasam jaari kidi.</li></ul>",21,4,True,,False,Urs Syedi Abde Moosa Kalimuddin Bin Syedna Ismail Badruddin AQ,True
75,22,4,Bharuch,Urs Syedi Mulla Habibullah bin Shaikh Sultanali,Bharuch,DAY,URS,"<ul><li>Aap Dail Ajal, Syedna Taher Saifuddin r.a. na nana chhe.</li><li>Dawat vaste Bharuch padharela. ane yahan Bharuch ma vafat thaya chhe.</li><li>Aap na javzah Sakinabai Saheba Sheikh Shahmalak [Burhanpur] ni nasal ma si chhe.</li><li>Aap na qubbat Bharuch ma chhe. 1385 H. ma teni taamir thai chhe.</li></ul>",22,4,True,,False,Urs Syedi Mulla Habibullah bin Shaikh Sultanali,
76,27,4,26th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Dawood Burhanuddin bin Ajab Shah RA",Surat,DAY,URS,"<ul><li>Syedna Dawood Bin Ajabshah Burhanuddin&nbsp;(r.a.)&nbsp;&nbsp;voh chaar sahebo ma si chhe,1, ane Dawat ne ni taraf naqal karva ma janfesani batavi.</li><li>Yemen ma aap Syedna Yusuf Najmuddin [r.a.] ni khidmat ma rahya. Te baad aap Hind tashreef laya.</li><li>Aap no 24 varas no zaman, saadat no hato. Hind ma Mumineen ni 140 bilaad ma 10,000 si vadhare vasti hati.</li><li>Ahmedabad maj Mumineen na 28 Mohalla,&nbsp;22 Masjid, 1000 makan ane 200 Shops hati, ane Approx. 5000 Mumineen ni vasti hati. Ahmedabad Sarangpur ma Masjid aap ye banavi.</li><li>Dawat na arsh par mustavi thaya baad, aap ye ghana bilad ma safar kidi. Deen na aalam ne baland kida. Saadat aam thai. Sindh na bilad ma Dawat qayam thai. Yemen&nbsp;ma bhi aap ne fateh azeem mili. Yemen ma je kitabo no ek mohto khazano lutai gayo hato, te vapas milo. ""Hayya alaa khairul amal"" ni nida zaher ma karva ma aavti. Idd-e-Gadeer-ul-Khum ni majlis thaati.</li><li>Aap na zaman na shuru ma Gujarat na suba Mirjahan Kokeh ye ghano zulam kido. Aap makhfi thaya. Te baad suba Khan Khanan na hath par amaan milu.</li><li>Aap na zaman ma Mohammed bin Taher Nehervali ni fitnat thai. Te ye Imam Mehdi hovano daavo kido. Fitnat na sabab aap ne Ahmedabad ma rehvu mushkil thayu. Aap Kapadvanj padhari gaya.</li><li>27 Rabiul Akhar, 999 H. 69 varas ni umare aap Ahmedabad ma vafat thaya.</li><li>Kapadvanj ma Aap na be Shahzadi, Manek Baisaheba, ane Ajabbu Baisaheba ni Qabr chhe. Beve qabr paalkhi ma chhe. Qabrastan ma dakhal thata samnej qabaro na vachma aa palkhi chhe. vahan na mujavar aa quboor batavi sakse.</li></ul>",26,4,True,,False,Urus Syedna Dawood Burhanuddin bin Ajab Shah (AQ),True
77,28,4,Pratapgarh,Urs Kakaji Mulla Esa bhai,Partapghar,DAY,URS,"<ul><li>Kakaji Mulla Issabhai Saheb ne&nbsp;Mumineen&nbsp;pyar si aap ne Kakaji Saheb si olkhe chhe, kem ke aap ne Syedi Abdul Qadar Hakimuddin Saheb hamesha kakaji kahi bolavta.</li><li>Aap na Qubba Pratapgarh ma chhe. Mazar no complex ghano nafis chhe. development chale chhe.</li><li>Moosaji Shaheed ni qabr gaam (where mumineen live) se thodi duur chhe,1, ye area ma koi mumineen nathi rehta. normally other caste naj che. aapni qabr upar qubba banela chhe.</li></ul>",27,4,True,,False,Urs Kakaji Mulla Esa bhai,
78,1,5,,Urs Syedna Ahmed al-Mukarram RA,Yemen,DAY,URS,<p>N/A</p>,29,5,True,,False,Urus Syedna Ahmed Al Mukaraam,
79,3,5,Sidhpur,Urs Syedi Qazi Khan bin Ali AQ,Sidhpur,DAY,URS,"<ul><li>Syedi Qazikhan bin Ali a.q. Doat-e-Badriyeen na zaman na Hudud kiram tha. Ilmul Aalim tha.</li><li>Syedna Badruddin r.a. na aap Mukasir ane baad ma Mazoon tha.</li><li>Syedna Nooruddin r.a. ni ibtedai [ shuruaat nu] taalim nu sharaf aap ne hasil thayu.</li><li>Aap Sidhpur na vaali tha. Sidhpur ni aabadi ma aapp no hisso mohto chhe.</li><li>Munafekin ye aap ne ghani takleef pochave che.</li><li>Aap ni qabr dushmano ye khodi hati, magar aap na jhust mubarak sahi saalam nikla.</li><li>Aap&nbsp;3 Jamadil Ula,1142,2,4,True,,False,Urs Syedi Qazi Khan bin Ali AQ""",
80,8,5,Surat,Urs Syedi Mulla Wahid bhaisaheb bin Mulla Ibrahimji AQ,Surat,DAY,URS,"<ul><li>Syedi Mulla Wahedbhai Saheb bin Mulla Ibrahimji a.q.&nbsp;Ahmedabad na vatni hata, ane mohta vepari hata. Ahmedabad ma zulm na zaman ma Ahmedabad chhori Surat aavi ne vepar shuru kido. Char anna [25 paisa] ma be [2] lungi banavta.&nbsp;Chhoti [small]&nbsp;</li><li>aamdani [income] ma ghar chalavta.</li><li>Panche farz masjid ma parhta. Roz Surat na Aamil,1, ane&nbsp;nani mohti khidmat bajavta.</li><li>Shahrullah ma Mumineen ne jamarta. Aap na jaman ma hamesha barkat rehti. Ek rivayat ma chhe ke aap na pase ek barkatvalo charu [pot] hato, je ma kain pan muko, te koi waar bhi khute nahin.</li><li>Surat ma jivare Dail Ajal Syedna Hebatullah Moaiyad Fiddin [r.a.] ne raj taraf si taklif pohnchi, ane aap ne chhupava nu thayu, te waqt Surat na Nagarseth Navlakhi Seth ye aap ne tehni haveli ma aasro aapvano inkar kido. Te waqt Mulla Wahed Bhaisaheb na ghar ma Weaving loom na niche aap moula ye aaram farmavelo. Navlakhi no inkar ehni barbadi no sabab bano,&nbsp;jivare Mulla Wahedsaab ni khidmat aap ne keva daraja par lai gai?</li><li>Aap na Qubbat Surat ma Navsari Bazar na nazdeek chhe. Qubba Dail Ajal Syedna Taher Saifuddin [r.a.] ye 1339 H. ma banaya chhe.</li><li>Aap na bairo Ratanbu [vafat-1100 H.] ane aap na farzand Mulla Jalal [Vafat 1177] ni qubur aap na Qubba ni nazdik ma chhe.</li><li>Aap na Qubba ni bahar be qabr chhe:&nbsp;</li><li>Mulla Mohammedbhai bin Syedi Sultanali Rampuri [ vafat 1200 H.] ni qabar , je Bawa Mulla Khan Saheb ni nasal si chhe.</li><li>Baju ma Miyansaheb Shk. Taiyebbhai bin Jafar bin Syedi Najamkhan najle Syedna Feerkhan Shujauddin Saheb [ vafat: 1107 H.] ni qabr chhe.</li><li>Aagal Qabrastan ma jaata, Syedi Fakhruddin Shaheed [galiykot] ni nasal ma 7 mi pedhi na Shk. Nazarali bin Mulla Farhullah&nbsp;{ 1299 H.] ni qabr chhe. ane haji agal, Shaheed, Syedi Abdurrasul Saheb [ Banswara] na bavaji saheb, Shaheed Nooruddin&nbsp;bin Mulla Alibhai ni qabr chhe.</li></ul>",7,5,True,,False,Urs Syedi Mulla Wahid bhaisaheb bin Mulla Ibrahimji AQ,
81,10,5,Binte Nabi Mohammed Rasullulah (SA).,Shahadat Maulatena Fatema tuz Zahra AS,Madina,DAY,SHAHADAT,,,,True,,True,Shahadat Maulatena Fatema tuz Zahra AS,
82,11,5,"Dawngham, India.",Urs Maulai Nooruddin Saheb AQ,Dongaon,DAY,URS,"<ul><li>Imam Mustansir billah a.s. na zaman ma&nbsp;Moulai Nooruddin [a.q.]&nbsp;ye Misr jai ne ilm hasil kidu chhe. Aap nu asal naam Roopnath hatu. Aap ni saathe Moulai Abdullah [jemnu naam Balamnath-][madfoon-khambat]&nbsp;bhi hata.</li><li>467 H. ma aap Gujarat ma aaya. Moulai Abdullah a.q. ,1, ane vahan si Dawat nu Zoohur thayu. Be-2 varas aap ye Mumineen ne hiDAYat aapi.</li><li>Aap ghana buland martaba na saheb chhe. Aap na sabab Deccan ma Iman nu noor phelayu chhe. Aap ni karamaat mashhoor chhe.</li><li>Aap 15 Moharram Vafat thaya, urs 11 Jamadil Ula na din manavay chhe.</li><li>Aap na mazar Aurangabad ( Maharashtra ) na najdik Dongam ma chhe.&nbsp;Haal ma vahan ghani taameer thai chhe.</li><li>Doat Mutlaqeen ma Syedna Hebatullah Moayyed Fiddin r.a. 1182 H. ma yahan padhara chhe. 40 din aap ye yahan ziyarat kidi chhe. 1207 H. ma 42ma&nbsp;dai, Syedna Yusuf Najmuddin r.a. yahan padhara ane Qubba ni taamir farmavi. Syedna Taher Saifuddin r.a. varamvar yahan padhara chhe. Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA) 5 vaar yahan padhara chhe.</li></ul><p><br></p>",10,5,True,,False,Urus Mawlai Nooruddin Saheb,
83,15,5,Ahmedabad,Urs Maulai Dawood bin Qazi Ahmed Saheb,Ahmedabad,DAY,URS,"<ul><li>Moulai Dawood Marde Muttaqi tha. Allama Vali tha. Dawat ni khidmat ma janfeshani kidi.</li><li>Aap Muzaffarshah III na zaman ma shaheed thaya chhe. Delhi ma te waqt Mughal Badsha Humayun&nbsp;hato.</li><li>Aap na Qubba Ahmedabad ma Saraspur Area ma chhe. Agmedabad ni 'nav ziyarat' ma aa shamil chhe.</li><li>Aap na qabr par takhti chhe, je ma aap nu nasab malum pare chhe.&nbsp;Aap Syedi Fakhruddin Shaheed r.a. ni nasal si chhe.</li><li>Aap na Vaalid Saheb,1, Ahmedshah Badshah ye jivare Ahmedabad vasayu, te ma je chaar (4) responsible persons hata, te ma si ek hata. Aa char Sahebo hata: Ahmedshah Badshah, Moulai Adam a.q.&nbsp;Moulai Qazi Ahmed, ane Pir Ahmedshah.</li><li>Aap na bhai Shk. Nizam ni qabr Ahmedabad ma Moulai Raj na Qabrastan ma Mouai Shamskhan na najdeek chhe. Ane aap na vaalid&nbsp;Moulai Qazi Ahmed ni qabr maoulai Raj na mazar si niche utri samne Gaje Shohoda ni moti chhatri si utartaj chhe. Qabr par takhti chhe.</li><li>1433 H. ni Ahmedabad ni safar ma&nbsp;Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;Moulai Dawood na complex ma Masjid&nbsp;ni iftetah vaste padhara hata.</li></ul>",14,5,True,,False,Urus Mawlai Dawood bin Qazi Ahmed,
84,17,5,,Urs Syedi Dawood bhaisaheb Shehabuddin,Surat,DAY,URS,"<ul><li>Syedi Dawoodbhai Saheb Shahabuddin a.q.&nbsp;aale Tarmal na nabira chhe.</li><li>Aap 45ma Dai, Syedna Taiyeb Zainuddin r.a. na pota chhe,1, ane Syedna Abdulhusain Husamuddin r.a. na bhatija chhe. Mukasir-e-Dawat Syedi Ishaqbhai Saheb Jamaluddin a.q. aap na shafeeq biradar chhe.</li><li>Aap na Vaalid Syedi Ismail Badruddin a.q. , 50ma Dai, Syedna Abdullah Badruddin r.a. na Mazoon hata. Temna Vafat na baad Syedna ye Syedi Dawoodbhai saheb ne Mazoon na rutba ma qayam kida. ( 1326 H.) Te baad 51ma Dai, Syedna Taher Saifuddin r.a. na zaman ma bhi aap&nbsp;Mazoon na rutba ma hata ( 1333H.).</li><li>Ikhlas ane Yaqeen na aap pahar tha. Taqwa ane riyazat ma alam tha. Koi waqt koi mumin ne sakhat [hard] kalemo nathi farmayo. Te saathe dushmano par ghana shadid [strict] tha.</li><li>47ma Dai, Syedna Abdul Qadar Najmuddin r.a. ni nas na&nbsp;shaahedo ma, aap ek shaahed hata.</li><li>Aap jismani hakim bhi hata. Aap ye ghana nuskha banaya chhe.</li><li>Syedna Abdullah Badruddin r.a. vafat thaya tivare aap ni umr ghani mohti hati, te saath sipara ni majlis ma padhara. Daizzaman Syedna Taher Saifuddin r.a. ne nihayat khushu si taslim bajavi sajdo dido. Dai ni hazrat ma aap hamesha sajdao bajavi hazir thata, jo ke te zaman ma kitnak logo ne sajda si inkar hato.</li><li>Aap hamesha namaz ma Imam Moulana Zainul Abedin a.s. ni Arafah ni doa parhta.</li><li>1336 H. ma aap vafat thaya.</li><li>Aap ni qabr Qubbat Izziyah na bahar chhatri ma chhe. Uper Phota ma Qubba Izziyah na pase frontmaj aap ni qabr [chhatri ma] dekhay chhe.</li><li>Syedna Jalal Shamsuddin r.a. ni sange marmar ni chhatri, Aqa Moula T.U.S. na hukam si aap ni qabr mubarak par lagava ma aavi chhe.</li></ul><p><br></p>",16,5,True,,False,Urus Syedi Dawood Bhaisaheb Shihabuddin,
85,21,5,Mumbai,Urs Seth Chanda bhai ibne Karim bhai,Mumbai,DAY,URS,"<ul><li>Seth Chandabhai Karimbhai&nbsp;marde mumin deendar tha. Vepari hata. Haq na dhani par fida na thanar tha.</li><li>Dail Ajal Syedna Taher Saifuddin [R.A.] na zaman ma Chandabhai Galla case thayo. Dushmano ye aap moula ne ghani taklif aapva chahyu. Te case ma Dail Mutlaq na martaba par humlo hato. Khuda Ta'ala ye aap ne kamyabi aapi, ane Dawat ni fateh mubin thai.</li><li>21 Jamadil Ula,1, Fort ma Badri Mahal&nbsp;na niche Masjid na sahan ma chhe.</li></ul>",20,5,True,,False,Urus Seth Chanda bhai ibne Karim Bhai,
86,23,5,Amreli,Urs Mulla Jaferji Jiwaji,Amreli,DAY,URS,"<ul><li>Syedi Jafferjee Jivaji's history dates back to 200 years.</li><li>He was one of the Hudud Fozala during Syedna Abdeali Saifuddin's (RA) era.</li><li>Incidences of Arwa-Khabisa are known to have been solved at Syedi Jafferjee&nbsp;Saheb's (QS) Roza Mubaraka.</li><li>He was a hudud in the era of 42nd Dai, Al Daail Ajal,1,22,4,True,,False,Urus Mulla Jaferji Jiwaji""",
87,29,5,,Urs Syedi Jiwanji bin Shaikh Dawood bhai AQ,Burhanpur,DAY,URS,<p>N/A</p>,28,6,True,,False,,True
88,8,6,,Urs Syedi Luqmanji bin Mulla Habibullah AQ,Surat,DAY,URS,"<ul><li>Syedi&nbsp;Lukmanji bin Habibullah a.q. ni viladat Rampura ma&nbsp;1099 H.ma thai hati.</li><li>Ibtidai Taalim Syedi Khanji Feer Saheb a.q.&nbsp;si lidi. Te baad Syedi Abdulqadar Hakimuddin a.q. Saheb ye aap ni tarbiyat ane&nbsp;kafalat kidi.</li><li>Aap Hafizul Quran tha, ane ghana ulum ma&nbsp;aap ne kamaal hasil hato. Haqaeq ane Fikeh ma aap mahir [ expert ] tha. Aap ye ghani kitabo&nbsp;na sahi [ correct ] nuskha likha chhe. Aap na haath na likhela kai kitabo Dawat na khajana&nbsp;ma aaj bhi maujud chhe. Aap ye teen Doat [ 38ma,40, te pakri&nbsp;ne aap Namaz adaa karta. Aap 'Dawood Roza' raakhta hata.</li><li>Syedna Vajihuddin r.a. na zaman ma aap ye&nbsp;Haj no irado kido. Surat aavi gaya. Tamam taiyari thai chuki thi, samaan bhi&nbsp;bandhai gayo tho. Syedna Moayyed r.a. nu farman aayu ke Hajj par na jata. Aap&nbsp;rokai gaya, ane Dai na farman mujab Dawat na nizam ne sanbhali lido, jeni&nbsp;zikar Syedna Moayyed r.a. ye kidi chhe.</li><li>74 varas ni umare aap Surat ma vafat thaya.&nbsp;Syedna Moayyed r.a. ye aap na janaza par Namaz parhavi.</li><li>Qubba Najmiyah ma Syedna Yusuf Najmuddin&nbsp;r.a. na baju ma aap madfoon chhe. Photo ma front qabr aap ni chhe.</li></ul>",7,6,True,,False,Urus Syedi Luqmaanji bin Mulla Habibullah,
89,12,6,,Urs Mulla Tayyeb Bawa bin Mulla Ibrahimji,Ranala,DAY,URS,<p>N/A</p>,11,7,True,,False,,True
90,14,6,Ahmedabad,Urs Ganje Shohoda,Ahmedabad,DAY,URS,"<ul><li>Ahmedabad ma Qutbi Mazar ma, Syedna Dawood bin Ajabshah r.a. na Qubba si niche utarta ,1, te waqt te kehto ke jo mein pachho Sultan banis to Qaum-e-Bawahir ne chakki ma pisi nakhis.</li><li>Aakhare, khudqasi kari ne, te halaq thayo.</li></ul><p><br></p>",13,6,True,,False,Urus Ganje Shohoda,
93,18,6,42nd al-Dai al-Mutlaq,"Urs Mubarak, Syedna Yusuf Najmuddin RA","Surat, India",DAY,URS,"",17,5,True,,False,,True
92,15,6,"Indore, India.",Urus Mawlai Ali bhai Shahid,"Indore, India",DAY,URS,1," ane aap ne ane saghla sahebo ne Shaheed kida.</li><li>Kamlapur na Mumineen ne khabar milta aap na jussa mubarakah ne Kamlapur ma dafan kida. Bija sahebo ne bhi yahan duuri par dafan kida.</li><li>Aap Saheb-e-Mojezaat chhe. Ankho vaste aap ni mannat le chhe.</li><li>Aap ni qabr par Qubba bana hua chhe.</li><li>Kamlapur Indore ni najdeek chhe.</li></ul>""",12,5,True,,False,,
93,18,6,42nd al-Dai al-Mutlaq,"Urs Mubarak, Syedna Yusuf Najmuddin RA","Surat, India",DAY,URS,1, ane Burhanpur ek muddat tak rahya.</li><li>1209 H. ma aap Burhanpur si Surat padhara ane ehne 'Darul Hijrat' ikhteyar kidu. Dawat Hindustan aaya baad, 264 varas na baad Surat ne aa sharaf milu.</li><li>Aap na zaman ma Majdu ye Ujjain ma ghani mohti fitnat kidi.Aap ni saaye si Dawat ni fateh thai, ane Dushmano zalil thaya.</li><li>1204 H. ma aap Jamnagar ane Ahmedabad padhara. Aurangzeb na zaman ma zalemeen ye Doat na Qubba giravi dida hata, ane qubur na asaar mitavvani koshish kidi hati. Aap ye Doat na Qubba banaya, ane Fozola kiram ni qubur banavi. Ej misal 1207 H. ma Dongam ma Moulai Nooruddin r.a. na Qubba banaya.</li><li>Kathiavar ma femine ma aap ye ghanu fez jaari kidu.ej misal Surat ma sailab (flood) aayu. Te waqt bhi aap ye saghla ne anaaj pohnchayu.</li><li>36 varas ni nani umare aap Surat ma vafat thaya. Aap ni qabr mubarak Qubba Najmiyah, Surat ma chhe.</li><li>Aap ye aap na biradar Dail Ajal," Syedna Abdeali Saifuddin r.a. par nas farmavi.</li></ul>""",17,5,True,,False,,True
94,18,6,,Urus Mawlai Adam ibne Dawood,"Jamnagar, India",DAY,URS,"<ul><li>Moulai Mulla Adam 34ma Dai,1, Syedna Ismail Badruddin r.a. na jad (Grand Father) chhe.</li><li>Aap na vaalid Mulla Dawood a.q. na baad, Vaali-e-Hind ye aap ne Morbi na umur sonpa. 24ma Dai, Syedna Yusuf Najmuddin r.a. no zaman hato.</li><li>944 H. ma Mogul Badshah, Humayun ye Gujarat par chadhai kidi, te waqt sultan Mehmoodshah vahan si bhagi ne Kathiawar taraf aayo, ane ghana gaam looti lida. Mumineen par bhi ghani musibat aavi pari. Morbi Kathiawar ma chhe. Logo gaam chhori ne hijrat kari gaya. Ghana muminaat izzat bachavva vaste kuva ma dubi gaya, je kuvo aaj bhi Morbi ma maujud chhe. Morbi ma Moulai Adam a.q. na makan ane kitabo bhi luti lida.</li><li>Moulai Adam a.q. aam 960 H. ma Morbi chhori Jamnagar padhara, te waqt Jamnagar na vaali Moulai Feer Jamaluddin a.q. tha. Mulla Adam a.q. ye Jamnagar vasayu ane vahan 980 H. ma aap vafat thaya.</li><li>Aap ni qabr Moulai Sheikh Feer a.q. na Qubba na qareeb bija Qubba ma chhe. Baju ma aap na Farzand Mulla Raj a.q. ni qabr chhe.</li></ul><p class=""ql-align-center""><br></p>",17,6,True,,False,,
95,18,6,Pisawda,Urs Maulai Burhanuddin Ibne Khoj Khan,Pisawada,DAY,URS,"<ul><li>Sitta Risael ma Syedi Khoj bin Malek saheb a.q. Syedi Burhanuddin a.q. ni zikar laya chhe.</li><li>Aap marde muttaqi tha, aabid ane parhezgar tha.</li><li>24ma Dai,1, je Ahmedabad si qareeb chhe, vahan padhara hata, ane vahanj aap vafat thaya chhe.</li><li>Aap ni qabr par Qubba bana hua chhe. Bahar mazar complex ma masjid bani hui chhe. Taamr nu kaam chale chhe.</li><li>Gaam ma masjid aalishan chhe, jeno 1429 H. ma Hasanfeer ma Aqa moula ye net par&nbsp;iftetah kido hato.</li><li>Pisawara ma Dawat na bija Hudud, Moulai Khoj Khan Saheb ane Moulai Ahmed bin Hasankhan Saheb ni qabaro chhe, magar maruuf nathi.</li><li>Moulai Ahmed bin Hasankhan, Moulai Raj bin Moulai Hasan a.q. na zaman na hudud chhe, je zaman ma Jafar ni fitnat barpa hati.</li></ul>",17,6,True,,False,,True
